L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,이지은,023.daechidongOffice,"원진씨, 오늘 좀 이상하네? ",null,null,0,2.1,2,0,FALSE,FALSE,FALSE,FALSE
null,null,0,이지은,null,혹시라도 속앓이 하고 있는 게 아닐까 몰라. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,강원진,null,……. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,강원진,null,스미스라는 사람에게 메시지가 왔습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,이지은,null,그걸 왜 이제서야 말하는 걸까? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,강원진,null,경찰조직 내에 함정임 대표와의 정경유착 관계가 있음을 제시하였습니다.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,이지은,null,그걸 정말 믿는 건지 모르겠네. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,이지은,null,지금 우리 조직의 기반이 얼마나 단단한지 알까 몰라. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,강원진,null,"저도, 믿고싶지 않습니다. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,강원진,null,"하지만, 믿지 않으려 합니다. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,강원진,null,스미스는 범법자니까요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,이지은,null,그럼 스미스하고는 적정선에 거리를 둬야겠네. 그렇지 않아?,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
