L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,006.Smith,null,null,05.Heaven_and_Hell_Part_2,0,2.1,2,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,"여, 전민원 시위대장님. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,1,전민원,null,말한게 사실이우? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,1,전민원,null,경한기업의 내부 문건을 가지고 있다는 거. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,백문이 불여일견이라하지? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,자료부터 봐. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon03,1,전민원,null,이거면 충분해. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon03,1,전민원,null,바이오칩이 경한 기업의 문제라는 점이 확실하다고. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon03,1,전민원,null,날 돕는 이유가 뭐요? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,"흥미 위주, 라고 알면 좋겠군. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,1,전민원,null,이게 세상에 알려지면 큰 파급력이 있을거외다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,퍼트리는 건 자유야. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,"하지만, 윗 선 두분이 나서시면. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,나도 당신도 죽어. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,신중히 판단하라고. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,1,전민원,null,이 정보 하나면 그 녀석 인생도 끝장이우. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,1,전민원,null,함정임. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,1,전민원,null,이 녀석의 세상의 끝이 다가온다는거지. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,"뭐, 마음대로 해. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon01,2,스미스,null,이걸로 재밌는 광경만 보면 난 만사 오케이거든. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Smith02,Jeon02,1,전민원,null,"오늘 저녁, 재밌는 광경을 보게 될거유. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,null,null,0,2.1,0,2,FALSE,FALSE,FALSE,FALSE
